#catalogue_i     catalogue_j     ell_i   ell_j  s_i     s_j      Cov^-1_ij
post-recon post-recon 0 0 8.750000e+01 8.250000e+01 -3.600989e+05
post-recon post-recon 0 0 8.750000e+01 8.750000e+01 1.491074e+06
post-recon post-recon 0 0 8.750000e+01 9.250000e+01 -4.134103e+05
post-recon post-recon 0 0 8.750000e+01 9.750000e+01 -1.288698e+05
post-recon post-recon 0 0 8.750000e+01 1.025000e+02 -1.037352e+05
post-recon post-recon 0 0 8.750000e+01 1.075000e+02 -1.148030e+05
post-recon post-recon 0 0 8.750000e+01 1.125000e+02 9.364015e+04
post-recon post-recon 0 0 8.750000e+01 1.175000e+02 -2.250544e+04
post-recon post-recon 0 0 8.750000e+01 1.225000e+02 -7.810706e+04
post-recon post-recon 0 0 8.750000e+01 1.275000e+02 -1.061797e+05
post-recon post-recon 0 0 8.750000e+01 1.325000e+02 -1.684991e+04
post-recon post-recon 0 0 8.750000e+01 1.375000e+02 -5.098339e+04
post-recon post-recon 0 0 8.750000e+01 1.425000e+02 1.022609e+05
post-recon post-recon 0 0 8.750000e+01 1.475000e+02 3.121272e+04
post-recon post-recon 0 0 9.250000e+01 5.250000e+01 -2.186987e+04
post-recon post-recon 0 0 9.250000e+01 5.750000e+01 4.420475e+04
post-recon post-recon 0 0 9.250000e+01 6.250000e+01 -3.243125e+03
post-recon post-recon 0 0 9.250000e+01 6.750000e+01 -4.501414e+04
post-recon post-recon 0 0 9.250000e+01 7.250000e+01 -7.878340e+03
post-recon post-recon 0 0 9.250000e+01 7.750000e+01 -6.167042e+04
post-recon post-recon 0 0 9.250000e+01 8.250000e+01 -1.438722e+05
post-recon post-recon 0 0 9.250000e+01 8.750000e+01 -4.134103e+05
post-recon post-recon 0 0 9.250000e+01 9.250000e+01 1.906952e+06
post-recon post-recon 0 0 9.250000e+01 9.750000e+01 -6.065994e+05
post-recon post-recon 0 0 9.250000e+01 1.025000e+02 -1.845404e+05
post-recon post-recon 0 0 9.250000e+01 1.075000e+02 -3.717778e+04
post-recon post-recon 0 0 9.250000e+01 1.125000e+02 -7.704845e+04
post-recon post-recon 0 0 9.250000e+01 1.175000e+02 2.226235e+04
post-recon post-recon 0 0 9.250000e+01 1.225000e+02 -4.655890e+04
post-recon post-recon 0 0 9.250000e+01 1.275000e+02 8.422042e+04
