#catalogue_i     catalogue_j     ell_i   ell_j  s_i     s_j      Cov^-1_ij
post-recon post-recon 0 0 9.250000e+01 1.325000e+02 -1.150208e+05
post-recon post-recon 0 0 9.250000e+01 1.375000e+02 -6.538254e+03
post-recon post-recon 0 0 9.250000e+01 1.425000e+02 -1.945406e+04
post-recon post-recon 0 0 9.250000e+01 1.475000e+02 -4.674205e+03
post-recon post-recon 0 0 9.750000e+01 5.250000e+01 -6.579439e+03
post-recon post-recon 0 0 9.750000e+01 5.750000e+01 7.361005e+03
post-recon post-recon 0 0 9.750000e+01 6.250000e+01 -4.304421e+04
post-recon post-recon 0 0 9.750000e+01 6.750000e+01 -7.894060e+04
post-recon post-recon 0 0 9.750000e+01 7.250000e+01 1.828684e+04
post-recon post-recon 0 0 9.750000e+01 7.750000e+01 -1.709887e+04
post-recon post-recon 0 0 9.750000e+01 8.250000e+01 -5.974579e+04
post-recon post-recon 0 0 9.750000e+01 8.750000e+01 -8.320265e+04
post-recon post-recon 0 0 9.750000e+01 9.250000e+01 -3.656002e+05
post-recon post-recon 0 0 9.750000e+01 9.750000e+01 1.689196e+06
post-recon post-recon 0 0 9.750000e+01 1.025000e+02 -4.893995e+05
post-recon post-recon 0 0 9.750000e+01 1.075000e+02 -1.892093e+05
post-recon post-recon 0 0 9.750000e+01 1.125000e+02 -2.016106e+05
post-recon post-recon 0 0 9.750000e+01 1.175000e+02 1.017988e+05
post-recon post-recon 0 0 9.750000e+01 1.225000e+02 -2.557792e+04
post-recon post-recon 0 0 9.750000e+01 1.275000e+02 -4.461738e+04
post-recon post-recon 0 0 9.750000e+01 1.325000e+02 -6.332587e+04
post-recon post-recon 0 0 9.750000e+01 1.375000e+02 4.940215e+04
post-recon post-recon 0 0 9.750000e+01 1.425000e+02 -1.793673e+04
post-recon post-recon 0 0 9.750000e+01 1.475000e+02 4.599590e+04
post-recon post-recon 0 0 1.025000e+02 5.250000e+01 -2.553315e+03
post-recon post-recon 0 0 1.025000e+02 5.750000e+01 3.965119e+03
post-recon post-recon 0 0 1.025000e+02 6.250000e+01 5.135230e+04
post-recon post-recon 0 0 1.025000e+02 6.750000e+01 -5.597610e+04
post-recon post-recon 0 0 1.025000e+02 7.250000e+01 2.700626e+04
post-recon post-recon 0 0 1.025000e+02 7.750000e+01 2.746918e+04
post-recon post-recon 0 0 1.025000e+02 8.250000e+01 -5.133876e+04
